ID,Time,URL,Back,Forward,Dash,Speed,EndPoint,Category,Channel,Duration
6XdOloc3,2024-04-11 13:49:06_219046,https://m.youtube.com/watch?v=wVK-mUWNlag,[],[],[],"[[1, 0]]",0.113063,News & Politics,MBCNEWS,97
6XdOloc3,2024-04-11 20:07:56_153493,https://m.youtube.com/watch?v=5Qjhxfotkkg,[],[19],[],"[[1, 0]]",21.334836,Music,GrooveHub 그루브허브,6781
6XdOloc3,2024-04-11 20:21:54_013759,https://m.youtube.com/watch?v=2rNEWolWnDU,[],[],[],"[[1, 0.394656]]",35.262574,Music,떤더TʜᴜɴᴅᴇʀGʀᴏᴏᴠᴇ,2545
6XdOloc3,2024-04-11 22:22:25_969614,https://m.youtube.com/watch?v=9UHcBcsfZq4,[],[],[],"[[1, 0]]",193.766638,Music,그룽비 𝐆𝐫𝐨𝐨𝐧𝐠𝐯𝐲,2812
6XdOloc3,2024-04-11 22:24:45_811504,https://m.youtube.com/watch?v=vJZsTG2bUF4&t=28s&pp=ygUk67iU66CM642UIO2IrOuqhSDtlIzrnbzsiqTti7Eg7J6s7KeI,[40.552974],"[28.034879,47.301421,65.911313,76.069446,86.287827,116.819721,147.819681,157.598155]",[],"[[1, 0], [1, 49.986971]]",161.586865,Howto & Style,artist B,280
6XdOloc3,2024-04-11 22:31:05_701809,https://m.youtube.com/watch?v=cEa5Rt4LcIs&pp=ygUk67iU66CM642UIO2IrOuqhSDtlIzrnbzsiqTti7Eg7J6s7KeI,"[239.105831,209.232983,198.934431]","[125.655328,137.730192,147.393397,167.403723,196.783975,257.488856,209.262082]","[[29.464791,111.446994],[199.730947,257.488856]]","[[1, 0]]",227.180948,Science & Technology,이수스,595
6XdOloc3,2024-04-11 22:31:25_846387,https://m.youtube.com/watch?v=EWz31hTi1EQ&pp=ygUk67iU66CM642UIO2IrOuqhSDtlIzrnbzsiqTti7Eg7J6s7KeI,[],"[11.697228,21.70683,44.197883,56.075882]",[],"[[1, 0]]",56.075882,People & Blogs,Glen Madden,181
6XdOloc3,2024-04-11 22:47:12_426614,https://m.youtube.com/watch?v=xFQQIZnSvmg,[],[],[],"[[1, 0]]",2.666848,Music,제리,2565
6XdOloc3,2024-04-12 00:32:56_675841,https://m.youtube.com/watch?v=zIFn9ypVM_o&pp=ygUa67iU66CM642UIOugiOydvCDrp4zrk6TquLA%3D,[],[37],[],"[[1, 0]]",103.214584,Howto & Style,Ongolzin TV 옹골진티비,5492
6XdOloc3,2024-04-12 04:05:36_833420,https://m.youtube.com/watch?v=_E8BAYbalTA,[],[],[],"[[1, 0]]",2847.901,Music,Musiq Cooker,2848
