ID,Time,Category,Channel,Duration,EndPoint,Back_count,Forward_count,Dash_count,Max_Speed_x,Time_int,앞뒤이동차이,앞이동배속차이,뒤이동배속차이,이동전체배속차이,대쉬배속차이,앞이동대쉬차이,뒤이동대쉬차이,이동전체대쉬차이,Max_Speed_binary,Category_Mapped_Value,Max_Speed_x_categorical
eisnx02m,2024-04-12 15:20:38_110381,News & Politics,MBCNEWS,207,29.147881,2,1,0,1.0,15,12.056178500000001,19.763614,7.7074355,11.726161666666668,0.0,0.0,0.0,0.0,0,2.0,1
eisnx02m,2024-04-12 15:21:37_459278,News & Politics,MBCNEWS,104,22.447273,1,1,1,1.75,15,14.986864,10.09051,10.09051,10.09051,10.09051,11.944216,3.042648,7.493432,1,2.0,1.75
eisnx02m,2024-04-12 15:31:06_268360,Music,hee,1430,5.309077,0,0,0,1.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
eisnx02m,2024-04-12 15:31:14_368956,Music,hee,1001,6.659158,0,0,0,1.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
eisnx02m,2024-04-12 16:36:35_191758,People & Blogs,햄찌리 HAMZzIRY,624,0.313915,0,0,0,1.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.45,1
eisnx02m,2024-04-12 16:38:00_705170,People & Blogs,은정커플 Eun♡Jeong Couple,572,530.795396,3,8,3,2.0,16,174.083846375,312.35271737499994,218.018047,286.62508,142.88660244444443,253.18954779166668,203.09351966666668,239.52699466666667,1,1.45,2.0
eisnx02m,2024-04-12 16:38:03_803708,People & Blogs,햄찌리 HAMZzIRY,624,395.778281,0,1,0,1.0,16,0.0,395.0,0.0,395.0,0.0,0.0,0.0,0.0,0,1.45,1
eisnx02m,2024-04-12 16:39:08_817905,People & Blogs,햄찌리 HAMZzIRY,624,549.41464,3,9,2,1.0,16,110.83681911111113,487.1755033333333,390.5114233333333,463.0094833333333,462.176334,53.26307655555556,83.41118033333333,60.80010249999998,0,1.45,1
eisnx02m,2024-04-12 17:05:43_892554,People & Blogs,"한정혜, 무한정혜",511,427.55796,0,5,3,1.0,17,0.0,258.1303734,0.0,258.1303734,90.58815833333334,185.88682293333332,0.0,185.88682293333332,0,1.45,1
eisnx02m,2024-04-12 17:28:27_821011,People & Blogs,수원게판,40,25.719745,0,2,0,1.0,17,0.0,19.8364545,0.0,19.8364545,0.0,0.0,0.0,0.0,0,1.45,1
eisnx02m,2024-04-12 17:30:38_889002,News & Politics,SBS 뉴스,172,82.127351,0,0,0,1.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1
eisnx02m,2024-04-12 17:31:07_763160,People & Blogs,오늘살이 Seouler,720,9.790764,0,0,0,1.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.45,1
eisnx02m,2024-04-12 17:37:28_300432,People & Blogs,잔잔,332,264.267885,0,0,0,2.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.45,2.0
